review_id,restaurant_id,restaurant_name,review_text,review_text_cleaned,rating,review_date,review_source,word_count,sentiment_score,sentiment_subjectivity,sentiment_category,area,cuisine_primary,price_category
rev_00011,src3_179,Gia La Cucina D'amore,"[Beautiful Italian Restaurant in Achrafieh] Gia la Cucina d'Amore is a hidden gem in the heart of the city. The moment you step inside, you're transported to a charming indoor garden with lush greenery and a relaxing atmosphere. The space is beautifully decorated and makes for a perfect backdrop for a romantic dinner or a night out with friends.

The food is just as impressive as the setting. The menu offers a variety of classic Italian dishes made with fresh, high-quality ingredients. We highly recommend the lasagna and tiramisu - they were both incredibly flavorful and satisfying.

The staff at Gia la Cucina d'Amore are knowledgeable and attentive, making our dining experience all the more enjoyable. Whether you're looking for a special night out or a casual dinner with friends, this restaurant is a must-visit. We can't wait to come back and enjoy the indoor garden atmosphere again!","Beautiful Italian Restaurant in Achrafieh: Gia la Cucina d'Amore is a hidden gem in the heart of the city. The moment you step inside, you're transported to a charming indoor garden with lush greenery and a relaxing atmosphere. The space is beautifully decorated and makes for a perfect backdrop for a romantic dinner or a night out with friends. The food is just as impressive as the setting. The menu offers a variety of classic Italian dishes made with fresh, high-quality ingredients. We highly recommend the lasagna and tiramisu - they were both incredibly flavorful and satisfying. The staff at Gia la Cucina d'Amore are knowledgeable and attentive, making our dining experience all the more enjoyable. Whether you're looking for a special night out or a casual dinner with friends, this restaurant is a must-visit. We can't wait to come back and enjoy the indoor garden atmosphere again!",5.0,,TripAdvisor,148,,,Unknown,Monot,Unknown,Unknown
rev_00012,src3_470,Zuruni Cafe Beirut,[A perfect visit] The restaurant is located direct at the sea with a very nice ambience. Get your Shisha an some delicious food and relax. You will love it.,A perfect visit: The restaurant is located direct at the sea with a very nice ambience. Get your Shisha an some delicious food and relax. You will love it.,4.0,,TripAdvisor,29,,,Unknown,Choucri Ghanem Street,Unknown,Unknown
rev_00013,src3_470,Zuruni Cafe Beirut,"[Review] A very good restaurant. The food is absolutely delicious, delightful and fresh , the staff is highly professional and friendly and the ambience is nice as well.  The service is prompt and punctual and the hygiene is optimal too.","Review: A very good restaurant. The food is absolutely delicious, delightful and fresh , the staff is highly professional and friendly and the ambience is nice as well. The service is prompt and punctual and the hygiene is optimal too.",4.0,,TripAdvisor,40,,,Unknown,Choucri Ghanem Street,Unknown,Unknown
rev_00014,src3_438,The Original Falafel M Sahyoun,[Would fly the world for this !] I would travel the world for THIS falafel!! And I’m not even a fan of falafel! Totally converted. Yum!! So good. And so clean!,Would fly the world for this !: I would travel the world for THIS falafel!! And I’m not even a fan of falafel! Totally converted. Yum!! So good. And so clean!,5.0,,TripAdvisor,31,,,Unknown,Damascus Road Ras El-Nabeh,Unknown,Unknown
rev_00015,src3_438,The Original Falafel M Sahyoun,[Live the falafel - go there] One of the best falafel sandwich I tried - marvelous and mouth watering - must try if you come to Beirut. Do not miss it please,Live the falafel - go there: One of the best falafel sandwich I tried - marvelous and mouth watering - must try if you come to Beirut. Do not miss it please,5.0,,TripAdvisor,32,,,Unknown,Damascus Road Ras El-Nabeh,Unknown,Unknown
rev_00016,src3_438,The Original Falafel M Sahyoun,"[Top 2 in Beirut] Loved the portion size, not huge, but manageable.  Enjoyed the yogurt drink (ayran) and the calmness of the late the lunch, since there were no crowds.  The staff also helped me get a reasonable local van taxi, after noticing how we were swindled by the taxi driver that brought us there.  They were shocked how much we paid for the local taxi.  To be fair, it was my first full day, and the jet-lag and confusion about the currency, made it easy to be cheated.  One is cheated and learns a lesson to hopefully not be repeated :)","Top 2 in Beirut: Loved the portion size, not huge, but manageable. Enjoyed the yogurt drink (ayran) and the calmness of the late the lunch, since there were no crowds. The staff also helped me get a reasonable local van taxi, after noticing how we were swindled by the taxi driver that brought us there. They were shocked how much we paid for the local taxi. To be fair, it was my first full day, and the jet-lag and confusion about the currency, made it easy to be cheated. One is cheated and learns a lesson to hopefully not be repeated :)",5.0,,TripAdvisor,102,,,Unknown,Damascus Road Ras El-Nabeh,Unknown,Unknown
rev_00017,src3_438,The Original Falafel M Sahyoun,[Great Falafel] Our tour guide said they made the best falafel in Beirut and possibly the world.  No arguments from me.  ,Great Falafel: Our tour guide said they made the best falafel in Beirut and possibly the world. No arguments from me.,5.0,,TripAdvisor,21,,,Unknown,Damascus Road Ras El-Nabeh,Unknown,Unknown
rev_00018,src3_438,The Original Falafel M Sahyoun,"[Delicious falafel in downtown Beirut] Great spot for a takeaway falafel (the shop has literally 2 chairs inside, so there is not too much of a space to sit).

The owner and the staff were polite and welcoming, they spoke English and the falafel sandwiches we got were absolutely delicious. Highly recommended!","Delicious falafel in downtown Beirut: Great spot for a takeaway falafel (the shop has literally 2 chairs inside, so there is not too much of a space to sit). The owner and the staff were polite and welcoming, they spoke English and the falafel sandwiches we got were absolutely delicious. Highly recommended!",4.0,,TripAdvisor,52,,,Unknown,Damascus Road Ras El-Nabeh,Unknown,Unknown
rev_00019,src3_210,Jars & Co,"[Lunch at jars & Co] Such a nice discovery the Jars and Co in Monot street Beirut.
I had lunch there with my colleagues and I loved the idea of salads and deserts in mini jars.
The hot meals ( my favorite between what i have eaten were the noodles but i would have preferred to have more meat in them. And more dressing on the side.
Regarding the deserts thumbs up for the cheese cake and fruit salad! Picture below!
The ladies owning/serving are just adorable and smiling!",Lunch at jars & Co: Such a nice discovery the Jars and Co in Monot street Beirut. I had lunch there with my colleagues and I loved the idea of salads and deserts in mini jars. The hot meals ( my favorite between what i have eaten were the noodles but i would have preferred to have more meat in them. And more dressing on the side. Regarding the deserts thumbs up for the cheese cake and fruit salad! Picture below! The ladies owning/serving are just adorable and smiling!,3.0,,TripAdvisor,89,,,Unknown,Clemenceau,Unknown,Unknown
rev_00020,src3_210,Jars & Co,"[Delivery order] I loved the idea, it is new and the jars can be re used or recycled which is very practical. I have ordered a delivery of salads in a jar and they tasted quite well. The only problem I faced is that the delivery took so much time to arrive (an hour). I am curious to try other things and to eat in sometimes.","Delivery order: I loved the idea, it is new and the jars can be re used or recycled which is very practical. I have ordered a delivery of salads in a jar and they tasted quite well. The only problem I faced is that the delivery took so much time to arrive (an hour). I am curious to try other things and to eat in sometimes.",3.0,,TripAdvisor,66,,,Unknown,Clemenceau,Unknown,Unknown
