restaurant_id,name,cuisine_primary,cuisine_tags,address_full,area,city,country,phone,rating_overall,rating_google,rating_tripadvisor,review_count_total,review_count_google,review_count_tripadvisor,star_5_count,star_4_count,star_3_count,star_2_count,star_1_count,star_5_percent,star_4_percent,star_3_percent,star_2_percent,star_1_percent,price_category,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,delivery_available,outdoor_seating,reservation_required,cash_only,credit_cards_accepted,wifi_available,wheelchair_accessible,takeaway_available,parking_available,live_music,pet_friendly,kids_friendly,menu_items,menu_link,website,data_source,source_url,scraped_date,last_updated
src3_357,Tawlet Saida,Unknown,Unknown,"Saida Seaside Road, Saida, Sidon Lebanon",Saida Seaside Road,Sidon,Lebanon,,4.8,,4.8,20,0,20,3,1,1,0,0,60.0,20.0,20.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,http://www.soukeltayeb.com/tawlet-saida/,source3,https://www.tripadvisor.com/Restaurant_Review-g445051-d14165785-Reviews-Tawlet_Saida-Sidon_South_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_358,Terghale,Unknown,Unknown,"Abdel Aziz Street, Beirut Lebanon",Abdel Aziz Street,Beirut,Lebanon,,4.5,,4.5,10,0,10,10,0,0,0,0,100.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,source3,https://www.tripadvisor.com/Restaurant_Review-g294005-d13833724-Reviews-Terghale-Beirut.html?m=66827,2026-04-15,2026-04-15
src3_359,Teta's Mezza House,Unknown,Unknown,"Batroun Old Souk, Batroun 1400 Lebanon",Unknown,Batroun,Lebanon,,5.0,,5.0,1,0,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,https://www.instagram.com/tetasmezzahouse,source3,https://www.tripadvisor.com/Restaurant_Review-g1943861-d32821759-Reviews-Teta_s_Mezza_House-Batroun_North_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_360,The Backburner,Unknown,Unknown,"Ariss & Kanafani Street Saifi Village, Beirut Lebanon",Ariss & Kanafani Street Saifi Village,Beirut,Lebanon,,2.9,,2.9,7,0,7,2,1,0,1,1,40.0,20.0,0.0,20.0,20.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,https://www.thebackburner.com/,source3,https://www.tripadvisor.com/Restaurant_Review-g294005-d15022698-Reviews-The_Backburner-Beirut.html?m=66827,2026-04-15,2026-04-15
src3_361,The Broad,Unknown,Unknown,"LAU road - Top Hill, Byblos Lebanon",LAU road - Top Hill,Byblos,Lebanon,,4.0,,4.0,3,0,3,1,1,1,0,0,33.3,33.3,33.3,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,,,http://www.facebook.com/thebroadlb,source3,https://www.tripadvisor.com/Restaurant_Review-g298264-d14786011-Reviews-The_Broad-Byblos_Mount_Lebanon_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_362,The Glow Paradise,Unknown,Unknown,"Gouraud St The Glow Paradise, Beirut 0000 Lebanon",Gouraud St The Glow Paradise,Beirut,Lebanon,,5.0,,5.0,5,0,5,5,0,0,0,0,100.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,http://theglowparadise.com/,source3,https://www.tripadvisor.com/Restaurant_Review-g294005-d23890775-Reviews-The_Glow_Paradise-Beirut.html?m=66827,2026-04-15,2026-04-15
src3_363,The Grill,Unknown,Unknown,"Amin Moukaddam, Tripoli Lebanon",Amin Moukaddam,Tripoli,Lebanon,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,https://www.facebook.com/TheGrillTheOriginalTaste/,source3,https://www.tripadvisor.com/Restaurant_Review-g295422-d18894065-Reviews-The_Grill-Tripoli_North_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_364,The Original Falafel M Sahyoun,Unknown,Unknown,"Damascus Road Ras El-Nabeh, Beirut Lebanon",Damascus Road Ras El-Nabeh,Beirut,Lebanon,,4.7,,4.7,52,0,52,4,1,0,0,0,80.0,20.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,,,http://falafelsahyoun.com/,source3,https://www.tripadvisor.com/Restaurant_Review-g294005-d5262210-Reviews-The_Original_Falafel_M_Sahyoun-Beirut.html?m=66827,2026-04-15,2026-04-15
src3_365,The Original Knafeh By Mohamad Nemr Elwadi,Unknown,Unknown,"Facing Sakanet Emile Helou Corniche El Mazraa, Beirut Lebanon",Facing Sakanet Emile Helou Corniche El Mazraa,Beirut,Lebanon,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,http://www.theoriginalknafeh.com,source3,https://www.tripadvisor.com/Restaurant_Review-g294005-d26347747-Reviews-The_Original_Knafeh_By_Mohamad_Nemr_Elwadi-Beirut.html?m=66827,2026-04-15,2026-04-15
src3_366,The Sailor Woman,Unknown,Unknown,"Yaacoub Labban Street Facing Jesuit's School, Mina 1301 Lebanon",Yaacoub Labban Street Facing Jesuit's School,Tripoli,Lebanon,,5.0,,5.0,1,0,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,https://www.facebook.com/thesailorwoman/,source3,https://www.tripadvisor.com/Restaurant_Review-g12877927-d17651832-Reviews-The_Sailor_Woman-Mina_North_Governorate.html?m=66827,2026-04-15,2026-04-15
