city,location_id,address,restaurant_name,website,tripadvisor_url,rating,num_reviews,review_title,review_text,review_rating
Beirut Lebanon,3192751,"Rue Victor Hugo Ashrafieh, Beirut Lebanon",Em Sherif Restaurant,http://www.emsherif.com/,https://www.tripadvisor.com/Restaurant_Review-g294005-d3192751-Reviews-Em_Sherif_Restaurant-Beirut.html?m=66827,4.6,1007,"Reservation impossible for ""only"" 2 people? Seriously?","I am not judging the quality of the food, as I did not have the opportunity to eat there.

However, my experience with this restaurant was extremely disappointing. Their website claims to offer a high-end service, but the reservation form does not work. I tried contacting them via Instagram, email, and WhatsApp, but never received a response.

I then went to the restaurant in person to make a reservation, and a staff member refused to take my booking for two people, claiming there was a minimum of four guests, information that is nowhere indicated. Even worse, the person spoke down to me, suggesting that the $75 menu was probably “a bit expensive” for me.

Verdict: a huge lack of respect and an extremely disappointing service.",1
Beirut Lebanon,3192751,"Rue Victor Hugo Ashrafieh, Beirut Lebanon",Em Sherif Restaurant,http://www.emsherif.com/,https://www.tripadvisor.com/Restaurant_Review-g294005-d3192751-Reviews-Em_Sherif_Restaurant-Beirut.html?m=66827,4.6,1007,Best Lebanese food ever,"The food is superbly cooked . It is worth the trip to Harrods. 
The labneh, the tabbouleh, were one of the best we have eaten in our life.",5
Beirut Lebanon,3192751,"Rue Victor Hugo Ashrafieh, Beirut Lebanon",Em Sherif Restaurant,http://www.emsherif.com/,https://www.tripadvisor.com/Restaurant_Review-g294005-d3192751-Reviews-Em_Sherif_Restaurant-Beirut.html?m=66827,4.6,1007,0👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,"👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻000000
Hello,
I just wanted to share some feedback regarding our recent experience at your restaurant.

We called ahead and were clearly told that the ordering would be à la carte. But when we arrived, we were surprised to hear it was actually $38 per person — something we were not informed about over the phone.

Still, we decided to go ahead and enjoy our evening. We ordered juice, and they brought out cake. But then, without us asking for the bill or even saying we were ready, they suddenly brought it to the table.

Unfortunately, the way we were treated was very disappointing. The staff were cold and unwelcoming, and the whole experience felt uncomfortable.

We expected a much higher level of hospitality and left feeling quite let down. I just wanted to share this feedback in the hope it can help improve future guest experiences.",1
Beirut Lebanon,3192751,"Rue Victor Hugo Ashrafieh, Beirut Lebanon",Em Sherif Restaurant,http://www.emsherif.com/,https://www.tripadvisor.com/Restaurant_Review-g294005-d3192751-Reviews-Em_Sherif_Restaurant-Beirut.html?m=66827,4.6,1007,Bad Experience,"Unfortunately the service we received at Em Sherif Achrafieh was unacceptable. No one reached for me after my initial complain about the way that the waiter was serving or the way he treats “your” customers!
Despite my efforts to bring this to your attention, i haven’t received any response yet! This lack of response is not only unprofessional but also reflects poorly on the reputation of your restaurant. Customer service should be a top priority for any reputable establishment and the lack of attention to my complaints is simply unacceptable. It might be trivial to you that it is not a big issue, but it is important for me now even if the issue is not a big deal to Em Sherif’s! It is a shame that customer satisfaction is no longer a priority for your restaurant and has lost sight of the importance of providing a positive and enjoyable experience! I expected better from a restaurant of your reputation!",1
Beirut Lebanon,3192751,"Rue Victor Hugo Ashrafieh, Beirut Lebanon",Em Sherif Restaurant,http://www.emsherif.com/,https://www.tripadvisor.com/Restaurant_Review-g294005-d3192751-Reviews-Em_Sherif_Restaurant-Beirut.html?m=66827,4.6,1007,Bad,The baddest restaurant i ever been all over the world so stingy and I’m sure that half of the price i can eat better quality of food i don’t advice and I’ll never repeat,1
Beirut Lebanon,17451972,"Monot Street, Beirut 0000 Lebanon",Almodovar,https://www.facebook.com/AlmodovarBeirut-512685245915080/,https://www.tripadvisor.com/Restaurant_Review-g294005-d17451972-Reviews-Almodovar-Beirut.html?m=66827,3.7,7,"Crowded place, too many people","The place is so crowded unbearable and cause so many fight as people are shoulder to shoulder 
Not a good place to go to ruins the ambience and the purpose to party",1
Beirut Lebanon,17451972,"Monot Street, Beirut 0000 Lebanon",Almodovar,https://www.facebook.com/AlmodovarBeirut-512685245915080/,https://www.tripadvisor.com/Restaurant_Review-g294005-d17451972-Reviews-Almodovar-Beirut.html?m=66827,3.7,7,Mr,It was very bad experience the hosted was to much rude. We make reservation for 2 and when we came she declined that after we had one chair on the bar after she came she came and want of us to stay behind the other just because one of customer want him to sit in our place but she act unprofessional way and in rude way I think they should be more professional even the place nice with gd vibes,3
Beirut Lebanon,17451972,"Monot Street, Beirut 0000 Lebanon",Almodovar,https://www.facebook.com/AlmodovarBeirut-512685245915080/,https://www.tripadvisor.com/Restaurant_Review-g294005-d17451972-Reviews-Almodovar-Beirut.html?m=66827,3.7,7,One of the last still standing nightclubs in Beirut ,"Nestled in one of the smallest streets in Ashrafyeh, Almodovar quickly became one of the busiest pub/night clubs in Beirut. And there’s a reason for this. 
To start with the food is quite interesting with modern fusion Mexican menus and is better than one would expect in a night club. Literally everything is presented with exotic dips that will make your taste buds dance throughout the meal. Also, they have one of the best drinks menus for such a venue. You can order almost any kind of drink or cocktail and you will surely get it. 
However this NOT what makes Almodovar really interesting. The secret is at post 10pm this very particular place transforms into a dancing floor where one can dance to one hearts delight. The music selection is exquisite and on point and the crowds will definitely go wild. THIS is Almodovar’s little secret and it’s a good one. 
Still, a few little details can make or break the mood. For one, some high tables are too small and uncomfortable especially if it’s a group of 3+ pax. Also, on some special nights it is truly overcrowded. Claustrophobic people should avoid. 
Still it is a must do experience. Word of the wise make sure you reserve a good table. My personal recommendation is to try it on a Thursday or Sunday. Both are exceptional nights there. Enjoy!  ",4
Beirut Lebanon,17451972,"Monot Street, Beirut 0000 Lebanon",Almodovar,https://www.facebook.com/AlmodovarBeirut-512685245915080/,https://www.tripadvisor.com/Restaurant_Review-g294005-d17451972-Reviews-Almodovar-Beirut.html?m=66827,3.7,7,wonderful,Great place. they have a lot of variety of food and so delicious. all kind of drinks with a lot of cocktails and great great music with affordable prices. you will enjoy a lot...,5
Beirut Lebanon,17451972,"Monot Street, Beirut 0000 Lebanon",Almodovar,https://www.facebook.com/AlmodovarBeirut-512685245915080/,https://www.tripadvisor.com/Restaurant_Review-g294005-d17451972-Reviews-Almodovar-Beirut.html?m=66827,3.7,7,What a DJ!,"The hit place in Beirut for this year.  Music is wonderful, what a DJ!! Food is average, service is good. Tables are too small but who cares, we were there to Dance not to sit!!!",5
Beirut Lebanon,14018393,"38 Rue Monot, Beirut Lebanon",Stem,http://www.stembeirut.com/,https://www.tripadvisor.com/Restaurant_Review-g294005-d14018393-Reviews-Stem-Beirut.html?m=66827,3.7,35,Pleasant ,"We had a pleasant food experience accompanied by good service and attention to details. Dishes were very well served, some better than others. I would recommend the seabass and the truffle pizzetta. The place attracts an elite crowd, though you don't see fancy dressup, which makes it quite a comfortable place. Good experience overall, to be repeated.",4
Beirut Lebanon,14018393,"38 Rue Monot, Beirut Lebanon",Stem,http://www.stembeirut.com/,https://www.tripadvisor.com/Restaurant_Review-g294005-d14018393-Reviews-Stem-Beirut.html?m=66827,3.7,35,Good Service and Food,"We ended up in this restaurant without aiming at it really. I am not sure it has an indoor seating as most service and people were outdoor, on a side walk. Nicely designed so you do not really feel the ""side Walk"" effect.
Service was great, very professional with a lot of attention to the patrons. Very friendly too.
Prices are on a high however and we opted for cocktails rather than wine because of the prices. Same bottle the night before somewhere else at $45.00 was at $75.00!!!
Still cocktails were not cheap, but this is the way in Beirut for any restaurant that wants itself fancy and trendy.
I had a fish that was nicely and perfectly cooked, very fresh. My wife had a salad and she liked it too.
Recommendable but a bit expensive",4
Beirut Lebanon,14018393,"38 Rue Monot, Beirut Lebanon",Stem,http://www.stembeirut.com/,https://www.tripadvisor.com/Restaurant_Review-g294005-d14018393-Reviews-Stem-Beirut.html?m=66827,3.7,35,"Excellent food, service and ambience","Stem is a restaurant where the beautiful people come to be seen and to see...with indoor and outdoor eating spaces it has a contemporary chic ambience. The service is well mannered and understated but excellent.  The food is international and we were five and ordered for starters the excellent spicy tuna ( amazing), chilled asparagus (hmm), grouper carpaccio ( as good as it looked) and gazpacho...we followed this with excellent seconds of veal milanese ( wow), squid ink linguine( looked and tasted excellent), the well cooked steak and salmon. The food was all perfectly done and tasted divine ...wine was good. This is not a cheap restaurant but it was worth the visit....excellent",4
